;means;sd;sr
1;1.185203986;3.820451666;0.310226143
2;1.118329062;3.864371143;0.289394838
3;1.462196329;4.893224779;0.298820593
4;0.885706506;3.170151987;0.279389288
5;1.075977538;3.254600005;0.330602082
6;1.09289432;3.43234818;0.318410098
7;1.616056595;5.446399782;0.296720156
8;1.301270903;3.975540716;0.327319224
9;0.999968948;2.974693507;0.336158648
10;0.976768847;3.020978228;0.323328661
11;1.041802998;4.065430723;0.256258947
12;1.004631646;3.815252306;0.263319845
13;1.101047732;3.510282897;0.313663532
14;1.078918176;3.446880909;0.313012896
15;1.136632627;3.699963945;0.307201001
16;2.064531565;6.536519971;0.315845675
17;1.176886993;3.607491574;0.326234163
18;1.647663512;5.590343119;0.294733879
19;0.949177537;3.048674851;0.31134102
20;1.464552357;4.631774093;0.316196845
21;1.567822892;4.998311039;0.313670534
22;1.494218486;4.799604748;0.311321153
23;1.168762189;3.765959312;0.310349128
24;2.165375252;8.179933211;0.264717962
25;1.255398832;4.183695051;0.300069392
26;1.241400272;3.833680874;0.323814191
27;1.095981369;3.557223859;0.308100196
28;1.060507777;3.881694325;0.273207442
29;0.917081292;3.151966177;0.290955309
30;0.986822033;3.172862822;0.311019445
31;0.973937179;3.457853359;0.28165948
32;0.929519991;3.293154868;0.282258208
33;0.883882233;3.63809523;0.242951923
34;0.944919652;3.866906398;0.244360622
35;0.97581397;3.068209988;0.318040152
36;1.024078808;3.490527599;0.293387971
37;3.758754558;15.28324346;0.245939585
38;1.141392792;3.813514646;0.299302061
39;1.238185223;4.12295454;0.300315032
40;1.062171171;3.7230381;0.285296885
41;0.947465461;3.187486838;0.297245293
42;1.061506599;2.95624221;0.359072946
43;1.045619413;4.139355009;0.25260443
44;0.944618687;3.732639133;0.25306992
45;1.081867431;3.406695593;0.317570913
46;1.217001931;3.855627046;0.315643063
47;0.959274779;3.604976327;0.266097387
48;1.209571622;3.739000577;0.32350132
49;1.463775306;4.729590941;0.309493004
50;1.185372671;4.55401998;0.260291496
51;1.020456342;4.074563344;0.250445571
52;1.281904462;4.085867938;0.313741042
53;1.105684805;3.927645262;0.281513409
54;1.429848389;4.468864526;0.319957873
55;0.899884407;3.466226505;0.259615004
56;1.279207864;3.717957169;0.344062023
57;1.120070452;3.89320815;0.287698579
58;1.066080119;3.171418904;0.336152414
59;1.597622093;5.389046778;0.296457269
60;1.168268111;3.752620294;0.311320629
61;0.832807503;3.865144898;0.21546605
62;1.042662936;3.62329341;0.287766631
63;1.006031248;3.257541604;0.308831435
64;1.028140921;3.264365122;0.314958922
65;1.150399458;4.128250161;0.278665152
66;0.814322239;2.383772775;0.34161068
67;1.253813682;6.849002299;0.183065157
68;1.308741372;4.50251517;0.290668953
69;1.849070254;6.408002805;0.288556405
70;1.161351587;3.765456044;0.308422558
